Year,Population,People_over_25_with_No_Schooling,High_School_Diploma,GED,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctoral_Degree,Name,state,No_Schooling_Rate,High_School_Education_Rate,GED_Rate,Associates_Degree_Rate,Bachelors_Degree_Rate,Masters_Degree_Rate,Professional_Degree_Rate,Doctoral_Degree Rate
2012,11533561.0,63192.0,2403387.0,291496.0,593037.0,1207216.0,504926.0,122033.0,74264.0,Ohio,39,0.5478966990333688,20.8382042631933,2.5273720752853346,5.141837807074502,10.46698413438833,4.37788467932844,1.0580687092217227,0.6438948040418739
2013,11549590.0,65640.0,2392326.0,295839.0,607861.0,1227819.0,521105.0,122484.0,77052.0,Ohio,39,0.5683318628626643,20.713514505709725,2.561467549930344,5.2630526278422005,10.630844904451154,4.511891764123229,1.0605051781058894,0.6671405651629192
2014,11560380.0,66013.0,2384432.0,297600.0,627729.0,1252463.0,537384.0,122786.0,81230.0,Ohio,39,0.5710279419880662,20.625896380568804,2.574309841025987,5.430003165985894,10.83409887910259,4.648497713742974,1.0621277155249222,0.7026585631268176
2015,11575977.0,68837.0,2369349.0,299967.0,643162.0,1278763.0,554000.0,124512.0,82753.0,Ohio,39,0.5946539112854146,20.46781019001679,2.59128883894638,5.5560062014636,11.04669610176316,4.7857731576349885,1.0756068364683171,0.7148683864869462
2016,11586941.0,68548.0,2352099.0,302041.0,658910.0,1310995.0,571298.0,126124.0,84458.0,Ohio,39,0.5915970401506316,20.2995682812228,2.606736324971362,5.686660525845433,11.314418533761414,4.930533434147978,1.0885012705251542,0.7289067925693243
2017,11609756.0,67808.0,2342883.0,303725.0,672658.0,1341204.0,591026.0,129078.0,87319.0,Ohio,39,0.5840605091097522,20.18029491748147,2.6161187194631825,5.793902989864731,11.55238749203687,5.0907702108468085,1.1118063118639185,0.7521174432951045
2012,6485530.0,36500.0,1288078.0,210017.0,326036.0,623200.0,252486.0,56453.0,39868.0,Indiana,18,0.5627913216036314,19.86079780680993,3.238239588746024,5.0271296254893585,9.609083606120086,3.8930665651072465,0.870445437766844,0.6147223125943446
2013,6514861.0,37569.0,1286939.0,213763.0,334834.0,632094.0,258886.0,55880.0,40860.0,Indiana,18,0.5766661790635288,19.75389804939814,3.2811597975766484,5.139541733891176,9.702340541110548,3.9737762632234213,0.8577312700915645,0.6271814548307324
2014,6542411.0,39423.0,1283193.0,215785.0,345740.0,647692.0,268080.0,55789.0,41235.0,Indiana,18,0.6025760228148308,19.613457485321543,3.2982489177155028,5.2845961527027265,9.899897759403988,4.097571980726983,0.8527284513308626,0.630272234501929
2015,6568645.0,39319.0,1272879.0,221423.0,355635.0,664747.0,275285.0,57184.0,43040.0,Indiana,18,0.5985861619862239,19.378106139089567,3.3709083075733277,5.414130311502601,10.12000191820383,4.190894773579635,0.8705600622350577,0.6552340703447972
