,State,Offense_Year,Offense_Type,Offense_Count
0,OH,2010,aggravated_assault,4075.0
1,OH,2010,all_other_offenses,69074.0
2,OH,2010,arson,232.0
3,OH,2010,burglary,7022.0
4,OH,2010,curfew,1336.0
5,OH,2010,disorderly,20622.0
6,OH,2010,driving,37463.0
7,OH,2010,drug_abuse_gt,32816.0
8,OH,2010,drug_poss_m,15893.0
9,OH,2010,drug_poss_opium,6643.0
10,OH,2010,drug_poss_other,4417.0
11,OH,2010,drug_poss_subtotal,28254.0
12,OH,2010,drug_poss_synthetic,1300.0
13,OH,2010,drug_sales_m,1402.0
14,OH,2010,drug_sales_opium,1541.0
15,OH,2010,drug_sales_other,663.0
16,OH,2010,drug_sales_subtotal,3961.0
17,OH,2010,drug_sales_synthetic,355.0
18,OH,2010,drunkness,4004.0
19,OH,2010,embezzlement,38.0
20,OH,2010,forgery,1621.0
21,OH,2010,fraud,3040.0
22,OH,2010,g_all,13.0
23,OH,2010,g_b,0.0
24,OH,2010,g_n,0.0
25,OH,2010,g_t,58.0
26,OH,2010,ht_c_s_a,0.0
27,OH,2010,ht_i_s,0.0
28,OH,2010,larceny,32988.0
29,OH,2010,liquor,12416.0
30,OH,2010,manslaughter,5.0
31,OH,2010,mvt,960.0
32,OH,2010,murder,190.0
33,OH,2010,offense_family,4455.0
34,OH,2010,prostitution,1737.0
35,OH,2010,prostitution_a_p_p,0.0
36,OH,2010,prostitution_p,0.0
37,OH,2010,prostitution_p_p,0.0
38,OH,2010,rape,532.0
39,OH,2010,robbery,2839.0
40,OH,2010,sex_offense,874.0
41,OH,2010,simple_assault,38486.0
42,OH,2010,stolen_property,3663.0
43,OH,2010,suspicion,82.0
44,OH,2010,vagrancy,39.0
45,OH,2010,vandalism,4800.0
46,OH,2010,weapons,3320.0
48,OH,2010,data_year,2010.0
49,OH,2011,aggravated_assault,4282.0
50,OH,2011,all_other_offenses,63463.0
51,OH,2011,arson,250.0
52,OH,2011,burglary,6899.0
53,OH,2011,curfew,936.0
54,OH,2011,disorderly,18264.0
55,OH,2011,driving,37708.0
56,OH,2011,drug_abuse_gt,30471.0
57,OH,2011,drug_poss_m,13836.0
58,OH,2011,drug_poss_opium,6895.0
59,OH,2011,drug_poss_other,4356.0
60,OH,2011,drug_poss_subtotal,26517.0
61,OH,2011,drug_poss_synthetic,1415.0
62,OH,2011,drug_sales_m,1098.0
63,OH,2011,drug_sales_opium,1374.0
64,OH,2011,drug_sales_other,483.0
65,OH,2011,drug_sales_subtotal,3211.0
66,OH,2011,drug_sales_synthetic,254.0
67,OH,2011,drunkness,3228.0
68,OH,2011,embezzlement,19.0
69,OH,2011,forgery,1172.0
70,OH,2011,fraud,2670.0
71,OH,2011,g_all,4.0
72,OH,2011,g_b,0.0
73,OH,2011,g_n,1.0
74,OH,2011,g_t,61.0
75,OH,2011,ht_c_s_a,0.0
76,OH,2011,ht_i_s,0.0
77,OH,2011,larceny,31723.0
78,OH,2011,liquor,10166.0
79,OH,2011,manslaughter,8.0
80,OH,2011,mvt,937.0
81,OH,2011,murder,244.0
82,OH,2011,offense_family,3800.0
83,OH,2011,prostitution,1411.0
84,OH,2011,prostitution_a_p_p,0.0
85,OH,2011,prostitution_p,0.0
86,OH,2011,prostitution_p_p,0.0
87,OH,2011,rape,489.0
88,OH,2011,robbery,2929.0
89,OH,2011,sex_offense,776.0
90,OH,2011,simple_assault,37156.0
91,OH,2011,stolen_property,3714.0
92,OH,2011,suspicion,55.0
93,OH,2011,vagrancy,42.0
94,OH,2011,vandalism,4696.0
95,OH,2011,weapons,3299.0
97,OH,2011,data_year,2011.0
98,OH,2012,aggravated_assault,4213.0
99,OH,2012,all_other_offenses,59879.0
100,OH,2012,arson,175.0
101,OH,2012,burglary,6686.0
102,OH,2012,curfew,869.0
103,OH,2012,disorderly,17016.0
104,OH,2012,driving,38016.0
105,OH,2012,drug_abuse_gt,30411.0
106,OH,2012,drug_poss_m,13982.0
