,State,Offense_Year,Offense_Type,Offense_Count
0,OH,2010,aggravated_assault,4075
1,OH,2010,all_other_offenses,69074
2,OH,2010,arson,232
3,OH,2010,burglary,7022
4,OH,2010,curfew,1336
5,OH,2010,disorderly,20622
6,OH,2010,driving,37463
7,OH,2010,drug_abuse_gt,32816
8,OH,2010,drug_poss_m,15893
9,OH,2010,drug_poss_opium,6643
10,OH,2010,drug_poss_other,4417
11,OH,2010,drug_poss_subtotal,28254
12,OH,2010,drug_poss_synthetic,1300
13,OH,2010,drug_sales_m,1402
14,OH,2010,drug_sales_opium,1541
15,OH,2010,drug_sales_other,663
16,OH,2010,drug_sales_subtotal,3961
17,OH,2010,drug_sales_synthetic,355
18,OH,2010,drunkness,4004
19,OH,2010,embezzlement,38
20,OH,2010,forgery,1621
21,OH,2010,fraud,3040
22,OH,2010,g_all,13
23,OH,2010,g_b,0
24,OH,2010,g_n,0
25,OH,2010,g_t,58
26,OH,2010,ht_c_s_a,0
27,OH,2010,ht_i_s,0
28,OH,2010,larceny,32988
29,OH,2010,liquor,12416
30,OH,2010,manslaughter,5
31,OH,2010,mvt,960
32,OH,2010,murder,190
33,OH,2010,offense_family,4455
34,OH,2010,prostitution,1737
35,OH,2010,prostitution_a_p_p,0
36,OH,2010,prostitution_p,0
37,OH,2010,prostitution_p_p,0
38,OH,2010,rape,532
39,OH,2010,robbery,2839
40,OH,2010,sex_offense,874
41,OH,2010,simple_assault,38486
42,OH,2010,stolen_property,3663
43,OH,2010,suspicion,82
44,OH,2010,vagrancy,39
45,OH,2010,vandalism,4800
46,OH,2010,weapons,3320
48,OH,2010,data_year,2010
49,OH,2011,aggravated_assault,4282
50,OH,2011,all_other_offenses,63463
51,OH,2011,arson,250
52,OH,2011,burglary,6899
53,OH,2011,curfew,936
54,OH,2011,disorderly,18264
55,OH,2011,driving,37708
56,OH,2011,drug_abuse_gt,30471
57,OH,2011,drug_poss_m,13836
58,OH,2011,drug_poss_opium,6895
59,OH,2011,drug_poss_other,4356
60,OH,2011,drug_poss_subtotal,26517
61,OH,2011,drug_poss_synthetic,1415
62,OH,2011,drug_sales_m,1098
63,OH,2011,drug_sales_opium,1374
64,OH,2011,drug_sales_other,483
65,OH,2011,drug_sales_subtotal,3211
66,OH,2011,drug_sales_synthetic,254
67,OH,2011,drunkness,3228
68,OH,2011,embezzlement,19
69,OH,2011,forgery,1172
70,OH,2011,fraud,2670
71,OH,2011,g_all,4
72,OH,2011,g_b,0
73,OH,2011,g_n,1
74,OH,2011,g_t,61
75,OH,2011,ht_c_s_a,0
76,OH,2011,ht_i_s,0
77,OH,2011,larceny,31723
78,OH,2011,liquor,10166
79,OH,2011,manslaughter,8
80,OH,2011,mvt,937
81,OH,2011,murder,244
82,OH,2011,offense_family,3800
83,OH,2011,prostitution,1411
84,OH,2011,prostitution_a_p_p,0
85,OH,2011,prostitution_p,0
86,OH,2011,prostitution_p_p,0
87,OH,2011,rape,489
88,OH,2011,robbery,2929
89,OH,2011,sex_offense,776
90,OH,2011,simple_assault,37156
91,OH,2011,stolen_property,3714
92,OH,2011,suspicion,55
93,OH,2011,vagrancy,42
94,OH,2011,vandalism,4696
95,OH,2011,weapons,3299
97,OH,2011,data_year,2011
98,OH,2012,aggravated_assault,4213
99,OH,2012,all_other_offenses,59879
100,OH,2012,arson,175
101,OH,2012,burglary,6686
102,OH,2012,curfew,869
103,OH,2012,disorderly,17016
104,OH,2012,driving,38016
105,OH,2012,drug_abuse_gt,30411
106,OH,2012,drug_poss_m,13982
107,OH,2012,drug_poss_opium,6857
108,OH,2012,drug_poss_other,4286
109,OH,2012,drug_poss_subtotal,26637
110,OH,2012,drug_poss_synthetic,1478
111,OH,2012,drug_sales_m,928
112,OH,2012,drug_sales_opium,1202
113,OH,2012,drug_sales_other,715
114,OH,2012,drug_sales_subtotal,3116
115,OH,2012,drug_sales_synthetic,271
116,OH,2012,drunkness,3075
117,OH,2012,embezzlement,14
118,OH,2012,forgery,1188
119,OH,2012,fraud,2434
120,OH,2012,g_all,3
121,OH,2012,g_b,0
122,OH,2012,g_n,0
123,OH,2012,g_t,59
124,OH,2012,ht_c_s_a,0
125,OH,2012,ht_i_s,0
126,OH,2012,larceny,33350
127,OH,2012,liquor,8996
128,OH,2012,manslaughter,5
129,OH,2012,mvt,775
130,OH,2012,murder,212
131,OH,2012,offense_family,3023
132,OH,2012,prostitution,921
133,OH,2012,prostitution_a_p_p,0
134,OH,2012,prostitution_p,0
135,OH,2012,prostitution_p_p,0
136,OH,2012,rape,463
137,OH,2012,robbery,2588
138,OH,2012,sex_offense,817
139,OH,2012,simple_assault,35404
140,OH,2012,stolen_property,3869
141,OH,2012,suspicion,25
142,OH,2012,vagrancy,9
143,OH,2012,vandalism,4376
144,OH,2012,weapons,3301
146,OH,2012,data_year,2012
147,OH,2013,aggravated_assault,4073
148,OH,2013,all_other_offenses,51183
149,OH,2013,arson,236
150,OH,2013,burglary,5247
151,OH,2013,curfew,501
152,OH,2013,disorderly,14898
153,OH,2013,driving,34322
154,OH,2013,drug_abuse_gt,30505
155,OH,2013,drug_poss_m,14857
156,OH,2013,drug_poss_opium,6837
157,OH,2013,drug_poss_other,3740
158,OH,2013,drug_poss_subtotal,26803
159,OH,2013,drug_poss_synthetic,1369
160,OH,2013,drug_sales_m,861
161,OH,2013,drug_sales_opium,1250
162,OH,2013,drug_sales_other,633
163,OH,2013,drug_sales_subtotal,2973
164,OH,2013,drug_sales_synthetic,229
165,OH,2013,drunkness,1723
166,OH,2013,embezzlement,39
167,OH,2013,forgery,1185
168,OH,2013,fraud,2495
169,OH,2013,g_all,3
170,OH,2013,g_b,0
171,OH,2013,g_n,1
172,OH,2013,g_t,19
173,OH,2013,ht_c_s_a,0
174,OH,2013,ht_i_s,0
175,OH,2013,larceny,31364
176,OH,2013,liquor,7455
177,OH,2013,manslaughter,14
178,OH,2013,mvt,732
179,OH,2013,murder,150
180,OH,2013,offense_family,1600
181,OH,2013,prostitution,1740
182,OH,2013,prostitution_a_p_p,0
183,OH,2013,prostitution_p,0
184,OH,2013,prostitution_p_p,0
185,OH,2013,rape,400
186,OH,2013,robbery,2291
187,OH,2013,sex_offense,715
188,OH,2013,simple_assault,32398
189,OH,2013,stolen_property,3211
190,OH,2013,suspicion,51
191,OH,2013,vagrancy,36
192,OH,2013,vandalism,3872
193,OH,2013,weapons,2962
195,OH,2013,data_year,2013
196,OH,2014,aggravated_assault,4018
197,OH,2014,all_other_offenses,53799
198,OH,2014,arson,202
199,OH,2014,burglary,4900
200,OH,2014,curfew,481
201,OH,2014,disorderly,16400
202,OH,2014,driving,35401
203,OH,2014,drug_abuse_gt,37458
204,OH,2014,drug_poss_m,18510
205,OH,2014,drug_poss_opium,8777
206,OH,2014,drug_poss_other,3956
207,OH,2014,drug_poss_subtotal,32706
208,OH,2014,drug_poss_synthetic,1463
209,OH,2014,drug_sales_m,1098
