ST_abv,Year,Population,People Living in Poverty,Median Household Income,Unemployment Count,Average Cost of Rent and Utilities Combined,Average Value of an Owner-Occupied Home,Average Monthly Housing Expense for a Homeowner with a Mortgage,Name,state,Unemployment Rate,Poverty Rate
IN,2012,6485530,927123,48374,309363,719,123400,1150,Indiana,18,4.77,14.2953
IN,2013,6514861,969881,48248,315476,730,122800,1134,Indiana,18,4.8424,14.8872
IN,2014,6542411,983826,48737,290469,741,122700,1119,Indiana,18,4.4398,15.0377
IN,2015,6568645,978043,49255,258739,745,124200,1102,Indiana,18,3.939,14.8896
IN,2016,6589578,957694,50433,228929,758,126500,1097,Indiana,18,3.4741,14.5335
IN,2017,6614418,933540,52182,202199,782,130200,1109,Indiana,18,3.0569,14.1137
KY,2012,4340167,781485,42610,194610,638,120000,1120,Kentucky,21,4.4839,18.0059
KY,2013,4361333,796202,43036,201987,655,120400,1123,Kentucky,21,4.6313,18.2559
KY,2014,4383272,803866,43342,192877,667,121600,1124,Kentucky,21,4.4003,18.3394
KY,2015,4397353,805841,43740,174308,675,123200,1112,Kentucky,21,3.9639,18.3256
KY,2016,4411989,804139,44811,156509,690,126100,1116,Kentucky,21,3.5474,18.2262
KY,2017,4424376,783586,46535,140717,713,130000,1131,Kentucky,21,3.1805,17.7107
MI,2012,9897264,1582022,48471,614849,755,128600,1355,Michigan,26,6.2123,15.9844
MI,2013,9886095,1625982,48411,616469,768,121700,1325,Michigan,26,6.2357,16.4472
MI,2014,9889024,1633316,49087,554747,780,120200,1295,Michigan,26,5.6097,16.5165
MI,2015,9900571,1616870,49576,477746,783,122400,1257,Michigan,26,4.8254,16.3311
MI,2016,9909600,1575066,50803,412934,799,127800,1242,Michigan,26,4.167,15.8943
MI,2017,9925568,1510841,52668,361624,824,136400,1251,Michigan,26,3.6434,15.2217
OH,2012,11533561,1723485,48246,569218,710,133700,1303,Ohio,39,4.9353,14.9432
OH,2013,11549590,1773853,48308,582953,718,130800,1288,Ohio,39,5.0474,15.3586
OH,2014,11560380,1790564,48849,536573,729,129600,1274,Ohio,39,4.6415,15.4888
OH,2015,11575977,1775836,49429,477251,730,129900,1246,Ohio,39,4.1228,15.3407
OH,2016,11586941,1732839,50674,423956,743,131900,1238,Ohio,39,3.6589,14.9551
OH,2017,11609756,1683890,52407,378735,764,135100,1247,Ohio,39,3.2622,14.5041
PA,2012,12699589,1604464,52267,548580,794,164900,1447,Pennsylvania,42,4.3197,12.634
PA,2013,12731381,1638820,52548,581533,813,164700,1442,Pennsylvania,42,4.5677,12.8723
PA,2014,12758729,1667858,53115,556468,832,164900,1443,Pennsylvania,42,4.3615,13.0723
PA,2015,12779559,1666569,53599,514993,840,166000,1425,Pennsylvania,42,4.0298,13.0409
PA,2016,12783977,1647762,54895,468440,859,167700,1426,Pennsylvania,42,3.6643,12.8893
PA,2017,12790505,1623537,56951,422016,885,170500,1446,Pennsylvania,42,3.2994,12.6933
WV,2012,1850481,316526,40400,65115,594,97300,953,West Virginia,54,3.5188,17.1051
WV,2013,1853619,321546,41043,69351,611,98500,965,West Virginia,54,3.7414,17.3469
WV,2014,1853881,326225,41576,67035,630,100200,971,West Virginia,54,3.6159,17.5969
WV,2015,1851420,323384,41751,63341,643,103800,966,West Virginia,54,3.4212,17.4668
WV,2016,1846092,318060,42644,61215,658,107400,977,West Virginia,54,3.3159,17.2288
WV,2017,1836843,317089,44061,57659,681,111600,997,West Virginia,54,3.139,17.2627
