Year,Population,People_over_25_with_No_Schooling,High_School_Diploma,GED,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctoral_Degree,Name,state,No_Schooling_Rate,High_School_Education_Rate,GED_Rate,Associates_Degree_Rate,Bachelors_Degree_Rate,Masters_Degree_Rate,Professional_Degree_Rate,Doctoral_Degree Rate
2012,11533561.0,63192.0,2403387.0,291496.0,593037.0,1207216.0,504926.0,122033.0,74264.0,Ohio,39,0.5479,20.8382,2.5274,5.1418,10.467,4.3779,1.0581,0.6439
2013,11549590.0,65640.0,2392326.0,295839.0,607861.0,1227819.0,521105.0,122484.0,77052.0,Ohio,39,0.5683,20.7135,2.5615,5.2631,10.6308,4.5119,1.0605,0.6671
2014,11560380.0,66013.0,2384432.0,297600.0,627729.0,1252463.0,537384.0,122786.0,81230.0,Ohio,39,0.571,20.6259,2.5743,5.43,10.8341,4.6485,1.0621,0.7027
2015,11575977.0,68837.0,2369349.0,299967.0,643162.0,1278763.0,554000.0,124512.0,82753.0,Ohio,39,0.5947,20.4678,2.5913,5.556,11.0467,4.7858,1.0756,0.7149
2016,11586941.0,68548.0,2352099.0,302041.0,658910.0,1310995.0,571298.0,126124.0,84458.0,Ohio,39,0.5916,20.2996,2.6067,5.6867,11.3144,4.9305,1.0885,0.7289
2017,11609756.0,67808.0,2342883.0,303725.0,672658.0,1341204.0,591026.0,129078.0,87319.0,Ohio,39,0.5841,20.1803,2.6161,5.7939,11.5524,5.0908,1.1118,0.7521
2012,6485530.0,36500.0,1288078.0,210017.0,326036.0,623200.0,252486.0,56453.0,39868.0,Indiana,18,0.5628,19.8608,3.2382,5.0271,9.6091,3.8931,0.8704,0.6147
2013,6514861.0,37569.0,1286939.0,213763.0,334834.0,632094.0,258886.0,55880.0,40860.0,Indiana,18,0.5767,19.7539,3.2812,5.1395,9.7023,3.9738,0.8577,0.6272
2014,6542411.0,39423.0,1283193.0,215785.0,345740.0,647692.0,268080.0,55789.0,41235.0,Indiana,18,0.6026,19.6135,3.2982,5.2846,9.8999,4.0976,0.8527,0.6303
2015,6568645.0,39319.0,1272879.0,221423.0,355635.0,664747.0,275285.0,57184.0,43040.0,Indiana,18,0.5986,19.3781,3.3709,5.4141,10.12,4.1909,0.8706,0.6552
2016,6589578.0,39122.0,1261742.0,224309.0,364277.0,681986.0,283692.0,59629.0,42755.0,Indiana,18,0.5937,19.1475,3.404,5.5281,10.3495,4.3052,0.9049,0.6488
2017,6614418.0,39437.0,1248705.0,226167.0,372514.0,704841.0,295381.0,61395.0,44691.0,Indiana,18,0.5962,18.8785,3.4193,5.6318,10.6561,4.4657,0.9282,0.6757
2012,4340167.0,31623.0,785247.0,202761.0,199940.0,361888.0,175964.0,46933.0,24142.0,Kentucky,21,0.7286,18.0926,4.6717,4.6067,8.3381,4.0543,1.0814,0.5562
2013,4361333.0,32009.0,786950.0,202117.0,206790.0,372738.0,183161.0,47346.0,25428.0,Kentucky,21,0.7339,18.0438,4.6343,4.7414,8.5464,4.1997,1.0856,0.583
2014,4383272.0,32662.0,788478.0,203042.0,214363.0,377949.0,188011.0,47619.0,26453.0,Kentucky,21,0.7452,17.9883,4.6322,4.8905,8.6225,4.2893,1.0864,0.6035
2015,4397353.0,32837.0,788112.0,205741.0,221409.0,386554.0,196117.0,48471.0,27802.0,Kentucky,21,0.7467,17.9224,4.6787,5.0351,8.7906,4.4599,1.1023,0.6322
2016,4411989.0,32514.0,786862.0,203460.0,231405.0,397154.0,199251.0,49576.0,28184.0,Kentucky,21,0.7369,17.8346,4.6115,5.2449,9.0017,4.5161,1.1237,0.6388
2017,4424376.0,32245.0,784789.0,203732.0,238060.0,406916.0,205326.0,51749.0,28577.0,Kentucky,21,0.7288,17.7378,4.6048,5.3806,9.1971,4.6408,1.1696,0.6459
2012,9897264.0,67506.0,1760439.0,260871.0,551652.0,1033830.0,473285.0,108256.0,63809.0,Michigan,26,0.6821,17.7871,2.6358,5.5738,10.4456,4.782,1.0938,0.6447
2013,9886095.0,69695.0,1745288.0,260945.0,564950.0,1049930.0,486283.0,106937.0,67068.0,Michigan,26,0.705,17.654,2.6395,5.7146,10.6203,4.9189,1.0817,0.6784
2014,9889024.0,71758.0,1734029.0,263590.0,580404.0,1068984.0,499269.0,109396.0,71017.0,Michigan,26,0.7256,17.5349,2.6655,5.8692,10.8098,5.0487,1.1062,0.7181
2015,9900571.0,72158.0,1722171.0,266211.0,595198.0,1094936.0,512955.0,110322.0,73679.0,Michigan,26,0.7288,17.3947,2.6888,6.0118,11.0593,5.1811,1.1143,0.7442
2016,9909600.0,72694.0,1710082.0,268580.0,608429.0,1117697.0,526378.0,111392.0,76331.0,Michigan,26,0.7336,17.2568,2.7103,6.1398,11.2789,5.3118,1.1241,0.7703
2017,9925568.0,72640.0,1697454.0,268656.0,622070.0,1147842.0,545875.0,114622.0,78702.0,Michigan,26,0.7318,17.1018,2.7067,6.2673,11.5645,5.4997,1.1548,0.7929
2012,12699589.0,81124.0,2885353.0,337023.0,649107.0,1439079.0,632138.0,161689.0,108971.0,Pennsylvania,42,0.6388,22.7201,2.6538,5.1112,11.3317,4.9776,1.2732,0.8581
2013,12731381.0,83093.0,2883622.0,344363.0,661608.0,1468125.0,656458.0,162842.0,112239.0,Pennsylvania,42,0.6527,22.6497,2.7048,5.1967,11.5315,5.1562,1.2791,0.8816
2014,12758729.0,85128.0,2872856.0,348332.0,677250.0,1502205.0,680881.0,163726.0,115989.0,Pennsylvania,42,0.6672,22.5168,2.7301,5.3081,11.7739,5.3366,1.2832,0.9091
2015,12779559.0,86400.0,2855340.0,352649.0,698397.0,1535222.0,702244.0,165557.0,119014.0,Pennsylvania,42,0.6761,22.343,2.7595,5.465,12.0131,5.4951,1.2955,0.9313
2016,12783977.0,87634.0,2831106.0,352143.0,712180.0,1578040.0,725919.0,168216.0,123775.0,Pennsylvania,42,0.6855,22.1457,2.7546,5.5709,12.3439,5.6784,1.3158,0.9682
