Year,Population,People_Living_in_Poverty,Median_Household_Income,Unemployment_Count,Average_Cost_of_Rent_and_Utilities_Combined,Average_Value_of_an_Owner_Occupied_Home,Average_Monthly_Housing_Expense_for_a_Homeowner_with_a_Mortgage,Name,state,Unemployment_Rate,Poverty_Rate
2012,11533561.0,1723485.0,48246.0,569218.0,710.0,133700.0,1303.0,Ohio,39,4.9353187623492865,14.943216583325826
2013,11549590.0,1773853.0,48308.0,582953.0,718.0,130800.0,1288.0,Ohio,39,5.047391292677922,15.358579828374861
2014,11560380.0,1790564.0,48849.0,536573.0,729.0,129600.0,1274.0,Ohio,39,4.641482373416791,15.488798811111746
2015,11575977.0,1775836.0,49429.0,477251.0,730.0,129900.0,1246.0,Ohio,39,4.122770803708404,15.34070083242218
2016,11586941.0,1732839.0,50674.0,423956.0,743.0,131900.0,1238.0,Ohio,39,3.6589122185052982,14.955103335729422
2017,11609756.0,1683890.0,52407.0,378735.0,764.0,135100.0,1247.0,Ohio,39,3.2622132627076743,14.504094659698275
2012,6485530.0,927123.0,48374.0,309363.0,719.0,123400.0,1150.0,Indiana,18,4.770049633568884,14.295254204359551
2013,6514861.0,969881.0,48248.0,315476.0,730.0,122800.0,1134.0,Indiana,18,4.842405693690164,14.887209412449476
2014,6542411.0,983826.0,48737.0,290469.0,741.0,122700.0,1119.0,Indiana,18,4.439785271821046,15.037667306441005
2015,6568645.0,978043.0,49255.0,258739.0,745.0,124200.0,1102.0,Indiana,18,3.9390011181910425,14.889570071148617
2016,6589578.0,957694.0,50433.0,228929.0,758.0,126500.0,1097.0,Indiana,18,3.4741071431281334,14.533464813680027
2017,6614418.0,933540.0,52182.0,202199.0,782.0,130200.0,1109.0,Indiana,18,3.0569431807908116,14.113713406077451
2012,4340167.0,781485.0,42610.0,194610.0,638.0,120000.0,1120.0,Kentucky,21,4.483928844212676,18.005873967522447
2013,4361333.0,796202.0,43036.0,201987.0,655.0,120400.0,1123.0,Kentucky,21,4.631313408079594,18.255932303265997
2014,4383272.0,803866.0,43342.0,192877.0,667.0,121600.0,1124.0,Kentucky,21,4.4002973121449,18.339404901178845
2015,4397353.0,805841.0,43740.0,174308.0,675.0,123200.0,1112.0,Kentucky,21,3.963930118869238,18.325592691785264
2016,4411989.0,804139.0,44811.0,156509.0,690.0,126100.0,1116.0,Kentucky,21,3.5473569857041802,18.226224045436197
2017,4424376.0,783586.0,46535.0,140717.0,713.0,130000.0,1131.0,Kentucky,21,3.1804937012586634,17.710655694723958
2012,9897264.0,1582022.0,48471.0,614849.0,755.0,128600.0,1355.0,Michigan,26,6.212312816956282,15.98443771935355
2013,9886095.0,1625982.0,48411.0,616469.0,768.0,121700.0,1325.0,Michigan,26,6.235717945255432,16.44716139183368
2014,9889024.0,1633316.0,49087.0,554747.0,780.0,120200.0,1295.0,Michigan,26,5.609724478371172,16.516452988687256
2015,9900571.0,1616870.0,49576.0,477746.0,783.0,122400.0,1257.0,Michigan,26,4.825438856001336,16.331078278212438
2016,9909600.0,1575066.0,50803.0,412934.0,799.0,127800.0,1242.0,Michigan,26,4.167009768305482,15.894344877694357
2017,9925568.0,1510841.0,52668.0,361624.0,824.0,136400.0,1251.0,Michigan,26,3.643358244082354,15.221708218612779
2012,12699589.0,1604464.0,52267.0,548580.0,794.0,164900.0,1447.0,Pennsylvania,42,4.319667353014338,12.633983666715514
2013,12731381.0,1638820.0,52548.0,581533.0,813.0,164700.0,1442.0,Pennsylvania,42,4.567713431873573,12.872287774594131
2014,12758729.0,1667858.0,53115.0,556468.0,832.0,164900.0,1443.0,Pennsylvania,42,4.361468920611136,13.072289567401267
2015,12779559.0,1666569.0,53599.0,514993.0,840.0,166000.0,1425.0,Pennsylvania,42,4.029818243336879,13.040896012139386
2016,12783977.0,1647762.0,54895.0,468440.0,859.0,167700.0,1426.0,Pennsylvania,42,3.664274427277208,12.88927537964125
2017,12790505.0,1623537.0,56951.0,422016.0,885.0,170500.0,1446.0,Pennsylvania,42,3.2994475198594584,12.693298661780752
2012,1850481.0,316526.0,40400.0,65115.0,594.0,97300.0,953.0,West Virginia,54,3.518814837871883,17.105066196302474
2013,1853619.0,321546.0,41043.0,69351.0,611.0,98500.0,965.0,West Virginia,54,3.741383747145449,17.346930518083813
2014,1853881.0,326225.0,41576.0,67035.0,630.0,100200.0,971.0,West Virginia,54,3.615927883181283,17.596868407411264
2015,1851420.0,323384.0,41751.0,63341.0,643.0,103800.0,966.0,West Virginia,54,3.4212118265979625,17.466809259919412
2016,1846092.0,318060.0,42644.0,61215.0,658.0,107400.0,977.0,West Virginia,54,3.3159235834400453,17.22882716571005
2017,1836843.0,317089.0,44061.0,57659.0,681.0,111600.0,997.0,West Virginia,54,3.1390271242561285,17.262716519593674
